Gabrielle_Delacour Roger Roberts 
Reginald_Cattermole Ryan Carter 
Reginald_Coner Arthur Mitchell 
Michael_Corner Carl Campbell 
Katie_Bell Henry Rivera 
Throwfinn_Rowle Douglas Hall 
Ernie_Macmillan Harold Baker 
Elphias_Doge Peter Nelson 
Ted_Tonks Patrick Adams 
Amycus_Carrow Walter Green 
Gregorovitch Dennis Flores 
Argus_Filch Jerry Hill 
Gregory_Goyle Joshua Nguyen 
Hannah_Abott Gregory Torres 
Padma_Patil Raymond Scott 
Rufus_Scrimgeour Andrew Wright 
Charity_Burbage Stephen King 
Viktor_Krum Eric Allen 
Gilderoy_Lockhart Scott Young 
Crookshanks Frank Walker 
Vernon_Dursley Jeffrey Robinson 
Rita_Skeeter Larry Lewis 
Helena_Ravenclaw Jose Ramirez 
Petunia_Evans_Dursley Timothy Clark 
Pansy_Parkinson Gary Sanchez 
Professor_Filius_Fitwick Matthew Harris 
Lily_Luna_Potter Jason White 
Professor_Horce_Slughorn Kevin Thompson 
Dudley_Dursley Anthony Perez 
Aberforth_Dumbledore Ronald Lee 
Pomona_Sprout Brian Martin 
Molly_Weasley Edward Jackson 
Percy_Weasley Steven Moore 
George_Weasley Kenneth Taylor 
Narcissa_Malfoy George Thomas 
Albus_sverus_Potter Donald Anderson 
Lucious_Malfoy Mark Wilson 
Vincent_Crabbe Paul Gonzalez 
Fleur_Delacour Daniel Lopez 
James_Potter Christopher Hernandez 
Nymphadora_Tonks Thomas Martinez 
Lilly_Evans_Potter Joseph Rodriguez 
Neville_Longbottom Charles Davis 
Remus_Lupin Richard Miller 
Rubeus_Hagrid David Garcia 
Dobby William Jones 
Luna_Lovegood Michael Brown 
Professor_Albus_Dumbledore Robert Williams 
Hermione_Ganger John Johnson
Harry_Potter James Smith 
Harry_Potter James Smith 
Vold Tom Riddle
