Harry_Potter James Smith
Hermione_Ganger John Johnson
Professor_Albus_Dumbledore Robert Williams
Luna_Lovegood Michael Brown
Dobby William Jones
Rubeus_Hagrid David Garcia
Remus_Lupin Richard Miller
Neville_Longbottom Charles Davis
Lilly_Evans_Potter Joseph Rodriguez
Nymphadora_Tonks Thomas Martinez
James_Potter Christopher Hernandez
Fleur_Delacour Daniel Lopez
Vincent_Crabbe Paul Gonzalez
Lucious_Malfoy Mark Wilson
Albus_sverus_Potter Donald Anderson
Narcissa_Malfoy George Thomas
George_Weasley Kenneth Taylor
Percy_Weasley Steven Moore
Molly_Weasley Edward Jackson
Pomona_Sprout Brian Martin
Aberforth_Dumbledore Ronald Lee
Dudley_Dursley Anthony Perez
Professor_Horce_Slughorn Kevin Thompson
Lily_Luna_Potter Jason White
Professor_Filius_Fitwick Matthew Harris
Pansy_Parkinson Gary Sanchez
Petunia_Evans_Dursley Timothy Clark
Helena_Ravenclaw Jose Ramirez
Rita_Skeeter Larry Lewis
Vernon_Dursley Jeffrey Robinson
Crookshanks Frank Walker
Gilderoy_Lockhart Scott Young
Viktor_Krum Eric Allen
Charity_Burbage Stephen King
Rufus_Scrimgeour Andrew Wright
Padma_Patil Raymond Scott
Hannah_Abott Gregory Torres
Gregory_Goyle Joshua Nguyen
Argus_Filch Jerry Hill
Gregorovitch Dennis Flores
Amycus_Carrow Walter Green
Ted_Tonks Patrick Adams
Elphias_Doge Peter Nelson
Ernie_Macmillan Harold Baker
Throwfinn_Rowle Douglas Hall
Katie_Bell Henry Rivera
Michael_Corner Carl Campbell
Reginald_Coner Arthur Mitchell
Reginald_Cattermole Ryan Carter
Gabrielle_Delacour Roger Roberts
